Aberdeen, Scotland	EANN 2016,,
Adelaide, Australia	BDVA 2017,,
Adelaide, South Australia, Australia	APCCM 2013,,
Ahmedabad, India	COMAD 2013,,
Aksaray, Turkey	SIN 2013,,
Alghero, Sardinia, Italy	ICANN 2017,,
Alicante, Spain	Big Data 2016,,
Amantea, Calabria, Italy	MEDI 2013,,
Amantea, Italy	ODBASE 2014,,
Amman, Jordan	ICICS 2015,,
Amsterdam	EvoMUSART 2017,EuroGP 2017,,
Amsterdam, Netherland	ICMSCE 2018,ACM--ICRIS 2018,,
Anchorage, Alaska, USA	IJCNN 2017,,
Antwerp, Belgium	DBDBD 2014,,
Arras, France	CAnimAI 2017,IEA/AIE NAAD 2017,,
Asilomar, California	CIDR 2013,,
Athens, Greece	HDMS 2011,EDBT 2014,IC-ININFO 2016,SSCI 2016,EDBT/ICDT 2014,EANN 2017,,
Atlanta, GA	GTM 2017,,
Atlanta, GA, US	We RISE 2017,,
Atlanta, USA	ICMMM - EI 2017,,
Atlantic City, NJ, USA	ICDM 2015,,
Auckland	APCCM 2014,,
Auckland, New Zealand	IEEE-ICCAR 2018,,
Austin, Texas, USA	BDCAT 2017,K-CAP 2017,SDM 2017,,
Bacau	BRAIN 2017,,
Bali	ICACSIS 2017,,
Bali, Indonesia	INNS-BDDL 2018,ICIKM 2018,,
Bamberg, Germany	IEEE BigDataService 2018,,
Bangalore India	AIMSA  2017,MDM 2012,,
Bangalore, Karnataka, India	COMAD 2011,,
Bangkok, Thailand	ICIBB - Ei 2017,ICT &amp; KE 2017,ICBEB 2017,EDC 2018,SoDAC 2012,MMM 2018,,
Barcelona	IDEAS 2013,IRRATIONAL 2016,,
Barcelona, Spain	ICDM 2016,ICCCB - Ei 2017,ICFIP 2018,NIPS ML4HC 2016,CML 2016,MindCare 2016,DAPS 2016,DEBS 2017,ITMLS 2017,MIG 2017,ICBRA - Ei 2017,,
Bari	AI*IA 2017,,
Bari, Italy	DS 2016,,
Bath, Uk	AISB 2017,,
Beijing, China	RTIS 2016,ICCIA 2017,IEEE ISI 2017,ICPR 2018,EiDMKD 2018,HIS 2012,BI 2017,ACM--ICDEL 2018,IECON 2017,,
Berlin, Germany	CAIA 2011,ICDT 2012,GCAI 2016,,
Bern, Switzerland	SDS 2017,,
Boracay, Philipines	ICDPR 2018,EI-CCEAI 2018,,
Bordeaux, France	FoIKS 2014,,
Boston	PAPIs 2017,,
Boston, MA	ACM-BCB 2017,,
Boston, MA, USA	IEEE Big Data 2017,,
Boston, USA	DLRS 2016,,
Brindisi	CN4IoT 2016,,
Brisbane, Australia	MDM 2014,Ei - ICCAE 2018,Ei - ICVARS 2018,ICDE 2013,ADC 2014,,
Bristol	IDEAS 2017,,
Brno, Czech Republic	MENDEL SCC 2017,,
Bruges, Belgium	Randomized ML @ ESANN 2017,ESANN 2017,,
Brunei	CIIS 2016,,
Brussels, Belgium	DBDBD 2012,,
Bucharest	RAAI 2017,,
Bucharest, Romania	ICMR 2017,,
Budapest, Hungary	FoIKS 2018,,
Burlingame, CA	VDA 2012,Electronic Imaging 2017,,
CANCUN, MEXICO	ICMLA 2017,VAAM 2016,,
Cadiz (Spain)	IPMU 2018,,
Caen, France	SBDS 2017,,
Cairo, Egypt	AMLTA 2018,AISI 2017,,
Caltech, Pasadena, CA, USA	AHS 2017,,
Cambridge	WSDM Cup 2017,,
Cambridge, MA, USA	NEDB 2012,,
Cambridge, Massachusetts, USA	RA 2017,,
Cambridge, UK	AIKED 2012,WSDM 2017,,
Capri (Italy)	S3P 2017,,
Casablanca, Morocco	ICBDSC 2018,,
Changa, Anand, India	IEEE icSoftComp 2017,,
Chania, Crete, Greece	HDMS 2012,SSDBM 2012,,
Chemnitz	FDM 2017,,
Chengdu, China	ICAISE 2018,ICSRT--ACM, 2018,CRC 2017,ICMAI 2018,CyberC 2016,ICBCB 2018 2018,ICCCBDA 2018,CCKS 2017,IEEE ITNEC 2017,ICCAI 2018,,
Chengdu, Sichuan, China	GreenCom 2016,CPSCom 2016,SmartData 2016,iThings 2016,,
Chennai	ICCIDS 2017,,
Chennai, India	MEDS 2017,AI 2017,BioS 2017,CSTY 2017,SIGI 2017,,
Chicago, USA	ICDE 2014,,
China	FADS 2017,,
Chongqing	IEEE ITOEC 2017,,
Coimbra, Portugal	ACM - DTTA Track 2013,ASIIS (ACM SAC) 2013,,
Colchester, UK	CEEC 2017,,
Copenhagen, Denmark	EMNLP 2017,TIME 2016,,
Cuba	CIPI 2017,,
Curitiba, Brazil	SBBD 2014,,
Cusco, Peru	SNMAM 2016,,
Cuzco	SIMBig 2016,,
Cyprus	ISS for IISA Conference 2017,,
C�rdoba, Argentina	SLIOIA/ASAI 2017,,
Daegu, South Korea	ISIS 2017,,
Dalian, China	NLPCC 2017,,
Dayton, Ohio	SUM 2011,,
DeKalb,IL,USA	IEEE--ICICT 2018,ACM--ICCDA, and ISI 2018,,
Deir El-Balah, Palestine	ICPET 2017,,
Delft, The Netherlands	CPAIOR 2018,,
Dong Hoi City, Vietnam	ICTCC 2017,ACIIDS 2018,ICCASA 2017,,
Druskininkai, Lithuania	WISTIPS 2017,,
Dubai, UAE	ITCS 2018,ARIA 2018,ISCMI 2016,DMS 2018,CST 2018,NWCOM 2017,NATP 2017,MECN 2017,DMAP 2017,DTMN 2017,CSITEC 2017,CSITY 2017,AIFZ 2017,ARIN 2017,ADCOM 2017,NeTCoM 2017,IEEE--ISCBI 2017,DKMP 2017,NTMS 2014,ITCCMA 2017,ACLing 2017,JSE 2018,AIFU 2017,SIPRO 2017,ICIST 2017,NLP 2018,,
Dublin, Ireland	AICS 2016,,
Exeter, England	SMMA 2017,,
Florence, Italy	ICOAI 2017,,
Florida, USA	ICISDM 2018,,
Fort Lauderdale, Florida, USA	AISTATS 2017,,
Fort Wayne, IN	MAICS 2017,,
France	ILP 2017,,
Fukuoka, Japan	DMBD 2017,ICDIM 2017,,
Funchal, Madeira	KALSIMIS 2018,,
Funchal, Madeira, Portugal	VISAPP 2018,CLOSER 2018,ICAART 2018,ICPRAM 2018,,
Galway/Ireland	LDK 2017,,
Gangtok, Sikkim, India	ICACCP 2017,,
Gaza ( Palestine )	PICICT 2017,,
Geneva, Switzerland	DMA 2017,CYBI 2017,CoSIT 2017,AIAPP 2017,,
Genoa, Italy	ICDT 2013,,
Gifu (Japan)	KES-IDT 2012,ER 2016,,
Glasgow, Scotland, UK	CIKM 2011,,
Glasgow, UK	SISAP 2015,,
Goa, India	ICACNI 2017,,
Gold Coast	ADMA 2016,,
Graz, Austria	ALatIKNOW 2016,ODBASE 2013,,
Guangzhou	Smart X 2017,,
Guangzhou, China	ICDME - IOP 2017,ACM--ICDPA 2018,APWeb 2014,ICONIP 2017,,
Guayaquil, Ecuador	CITI 2016,,
Guilin	ICIIP 2018,,
Guilin, China	IDEAL 2017,,
Guiyang, China	ICCSP  2018,,
Halifax, Nova Scotia - Canada	Fashion-ML-KDD 2017,,
Hamilton, New Zealand	ACML 2016,,
Hammamet, Tunisia	Workshop on Massive Dataflow Analysis 2017,,
Hangzhou, China	ICBDT 2018,CCIS 2017,IDEAL 2016,VLDB 2014,,
Hanoi, Vietnam	ICIIT 2018,Ei - ICBCT 2018,IES 2017,DASFAA (Demo Track) 2015,,
Hasselt, Belgium	IUPT 2014,,
Hawaii, USA	AIAAT 2017,AIAAT 2017,ICISIP 2017,,
Hefei, China	ICMRA 2018,,
Helsinki, Finland	IEEE FRUCT 2017,ICDE 2016,,
Ho Chi Minh City, Vietnam	FDSE 2014,,
